"i","lambda.1","mu.1","lambda.2","mu.2","p"
1,4.38616189532836,3.65096969558424,4.5535391663932,1.38709923866422,134.882211724009
2,5.41478312330978,2.69844224333002,3.18444295475952,1.39438656921371,135.380174552712
3,4.95940827139856,2.35286452499378,2.5909130819452,0.455719094565888,137.569430793219
4,4.1234690624846,1.5406592712475,2.890191048797,0.106317070794431,140.150483884388
5,3.04762365994099,1.33381507737039,2.81856212388857,0.285633603516462,140.903342916767
6,2.5632467708912,0.839799866624441,3.26261192605288,0.23218546626198,141.186516491386
7,2.72406477642551,0.00595304622802028,2.01382266526446,0.177231701936826,142.649813619335
8,3.44132183070589,0.232818982721024,3.92501188610568,0.195498285949189,141.087137344176
9,3.02298140087288,0.631123073260197,4.34315740305418,0.270364635314781,140.767091442885
10,3.74613581291736,0.364678795328423,2.02461134477882,0.209849849334377,140.458603733822
11,3.25939810296618,1.33132213974817,2.57385798884117,0.713152127102098,140.390516842725
12,3.22533805571156,1.84999762969122,3.43237795013301,0.181966108871759,139.67733138137
13,3.43218189726665,1.67946475011084,2.75905864534846,0.0318401731791625,140.732922931817
14,3.29479705877663,0.0178954960024743,2.18851120884081,0.406860471005971,141.644777054609
15,2.92227637771504,0.0629783595224875,2.77109171438431,0.224627728636642,143.006066687231
16,3.2654053911395,0.583401557655652,2.30221607515913,0.882669914617537,140.750013794143
17,3.07470987549919,0.0507461596918373,3.3572027563284,0.831858311947269,142.109577160626
18,2.36328375572324,0.813846098336764,1.68000485217872,0.28515761650409,139.200278583463
19,3.47924805628081,0.100989850917903,1.78101882988492,0.435145945404061,140.182774640468
20,4.03888582929731,0.287656587226175,1.70863259912364,0.189225740982918,138.628979572755
21,3.5851509925947,1.6662717121105,2.95890198132469,0.762631236245373,139.966709996184
22,3.10929775704088,0.540780318014923,2.86658234391896,0.577854837210048,141.942380350374
23,2.49557997749407,0.143865012747074,3.96819920587478,0.0370743826674318,142.00570833965
24,2.63915374878089,0.697456024154681,2.18284891020551,0.210110578294692,141.523106766719
