"i","lambda.1","mu.1","lambda.2","mu.2","p"
1,7.19138926426225,3.76457015493568,6.55116582730724,0.0590854080807562,147.385744336529
2,5.15833428469133,4.18084379418167,3.36065001542685,0.373470745770847,151.602500580621
3,5.30553332403205,3.11940248097717,3.81614350487256,0.551940121903544,152.682260709659
4,5.17061316767316,1.48211939990135,3.49593571797387,0.842592068734005,152.043766211203
5,4.87065276166942,1.94115172877924,6.57409772503977,1.28988979931679,151.644968444627
6,4.90109146958501,1.44680403060166,7.94240580755647,3.32915216174239,150.040726097451
7,3.36177367879522,0.025504178423495,7.13206390230887,2.66680509663896,152.779322105756
8,1.97936211210224,0.00887477499776771,6.38888660185546,2.17469833300013,150.384612116034
9,2.23641669625013,0.22285860995634,4.15544235058819,0.109185644361586,153.276045242728
10,4.32608348826553,1.12029830292617,5.2277113750705,0.858271089610184,153.65485856415
11,3.46399041655456,0.430344727707189,5.98635026984305,0.586087963988501,153.853196162204
12,3.10436575511847,0.842814992448799,6.0874909506995,0.431679457914767,153.136527386528
13,4.40041722901594,0.310499611316033,4.07015946243642,0.439153332889506,153.738319682887
14,2.56943608620917,0.540838652328901,3.68029849017598,0.0208631051233296,153.985953979123
15,3.85398071547904,2.40154653976535,4.61673010548915,0.0167621056634559,153.41319394238
16,4.39957051372079,1.71733349891664,2.88920447403868,0.0525204993947264,153.643634485922
17,4.17393546866289,2.08115326260378,5.24891316581056,1.29901815003207,153.180537700472
18,4.32071995957518,1.54276489984849,6.09200977881396,1.56048755786432,152.795716229094
19,5.43110852472461,3.46871521621288,2.76555079939205,0.708282407688005,150.934461610462
20,5.39991934865426,3.65073117392515,5.15414820651915,0.762123698572874,151.99770690112
21,5.7032969152558,2.80346075044303,4.27020000388314,0.361485440886742,152.370678739099
22,4.47401247224344,1.88847252063946,5.97616651660739,1.12091674903461,152.736236289502
23,5.45958419703215,1.4420972628324,4.76497449068606,3.97004931018854,148.380522699533
24,5.68298446132164,4.11328830657637,7.84585283193021,3.4962592521714,148.840114066989
25,4.4274210480371,3.8562428113877,7.70377389409239,3.96407103812401,148.391283826878
26,5.4600642216378,2.28934884143694,5.77105103313778,1.63177415337773,151.404001418734
27,5.358058068595,2.02757627854978,4.28537503573121,1.03805995648369,152.219112352919
28,4.50590099960244,3.1580749609629,5.82003956057767,1.1259123182511,151.776782621179
29,5.93450002272988,3.58565626320082,4.13528095308943,0.791658552394221,151.771342373937
30,5.92202135661756,3.98905960807246,4.89088672519485,0.553404895605383,151.705026949268
31,5.58305498423909,3.50192933799944,3.77996935968381,1.63139768398043,151.046206280487
32,4.81990570443334,0.55459211842988,7.56450178166491,3.34211883745904,149.913959895475
33,3.68173487417994,0.632437374308981,8.50629460322471,1.59425133343201,150.261576853487
34,4.08871293736309,0.0593761713971128,9.16363714604055,3.44636578318661,149.501439692265
