"i","lambda.1","mu.1","lambda.2","mu.2","p"
1,1.21558210528283,0.100407263176943,4.0035616524811,0.113191933348022,129.989560649277
2,1.28312790030004,0.0938996933681592,1.25773060398291,0.0650871953969287,131.176722886324
3,1.28126501440031,0.0579201848375412,1.63293118904445,0.148229564887687,132.44332614901
4,3.15835436103849,1.07123965569465,2.87185238477874,0.502682365758269,138.695776094284
5,2.938366715976,0.0441051446565808,2.59837598703763,0.810600661382327,139.788793921875
6,2.5903175556116,0.123679955171896,2.42973712845392,0.452719793386594,140.214748028524
7,2.6048055351071,0.317950229295406,2.66440391779416,2.37159418606344,137.482691515996
8,2.71037789777904,0.32034850634697,4.72013399299526,2.27550176378616,137.977442151252
9,2.39234821749413,0.306850886703107,3.97992890235307,0.429748604348171,138.139301653695
10,3.11834133918605,0.663628980239725,3.11015177444206,1.72318367490701,138.381997660607
11,3.41083651187182,0.730283741578691,3.39110499599059,0.371297733477784,138.286647953645
12,2.51324506028071,1.06689615091318,4.38325839372925,1.13824469546623,136.049167192395
13,3.89150002724904,1.32536920924974,3.45245687888334,1.31927903111476,136.94913621231
14,3.77111710034272,2.53271828477134,4.79733003034872,2.90614455079502,134.154908179096
15,4.44856124838003,1.66653821836219,4.80392137283639,1.9377025986841,134.063638909827
16,2.82692461999884,1.25216768195714,3.49676774591055,2.29405798029136,136.754603666977
17,3.54454444480314,1.40538045755912,4.37411684068039,3.20108359148072,136.07113585632
18,3.197011767641,0.641683602599112,3.72635684224045,1.90255659697197,138.161502042936
19,2.84272134732976,0.40869010529188,3.42441915572032,0.851283029553498,139.209067407406
20,3.55301819914647,0.345089788687573,4.11365760183443,2.04401173848553,137.154013431165
21,4.81668793438492,2.04878253584106,3.5593201614902,1.87281474718662,134.190913115989
22,4.99190834762196,2.83644180048428,3.44446158304418,1.8011492678852,133.892466214007
23,3.51517695775083,2.65315521160763,2.71232859072069,2.54262018079492,132.889297840924
24,3.47422335352413,1.27454760045907,4.78517228851933,3.28507190320807,136.145805358231
25,3.4345507589086,1.57281169087501,4.08216829400409,4.19907698304673,134.400781203971
26,3.71956535410676,1.02786464697986,6.29137939190027,3.466985220547,134.396666335817
27,3.15736427782373,0.860726882585779,5.36677597562699,1.76338397522606,135.832617230451
28,3.48561237957769,1.20824178338403,6.28907494167626,0.719625891272795,131.43616604897
29,3.2295883100339,1.03396491183664,3.80409828595796,1.15410160318636,137.823740030585
30,3.31532561193644,0.815682980370957,2.54036789558442,0.426595890585745,139.000594893403
31,2.65327521973126,0.631926281073491,2.83721379729935,0.0518730035684339,139.374344830285
32,3.02824645608831,0.570388468888845,2.92327291395273,0.295066453421666,139.433241525133
33,2.96944608889996,0.693264720982413,1.92041935467029,0.258254852518702,139.181236215166
34,2.84298707406239,0.0618360430004777,2.72351858857359,0.54219929889313,140.108602162335
35,2.5595420014501,0.389033696131525,1.96126932178523,0.338969356218557,139.479184918295
36,3.09186955550788,0.100956174649222,1.62691578319174,0.163103025778309,139.125662050617
37,2.56570622642934,0.106604695030166,2.30431717002404,0.263095085366341,140.3536327586
38,3.51450000383314,1.7028939857566,1.85554076653973,0.0522366899323538,137.732399909433
39,3.44478127817546,1.67535492946919,2.44706221786519,0.763575081340218,137.519851872593
40,3.15746079891649,2.11395203701518,3.82334393598552,0.0131249066813426,134.920412140265
41,4.41724023572183,1.1513920951844,2.30537260071175,0.131280632275773,136.211785776337
42,2.46836583827265,1.19465238026783,2.6692589776924,0.0135494384690539,137.48241211689
43,3.72498394940634,0.270858278037116,2.18921198480324,0.248234404559981,137.963143840185
44,2.1643741224251,0.227592839340916,1.93233230921571,0.269106121303432,139.068964213699
45,2.20677949472058,0.556022905829105,1.33482970319341,1.31535819372222,133.90506382283
46,4.26644979840889,3.23318051980858,3.84463144848932,0.734025307971954,133.865244969486
47,5.71853531636956,4.39913897757604,2.11786125034222,1.29491234047305,131.200594683203
48,5.27743911964583,2.99587954371798,2.96438603079007,0.404145619122721,134.0477140139
49,4.55986856457816,1.16977137958197,1.88157416984546,0.174400768597085,135.2906863106
50,3.99770506030021,1.31169052119409,2.73223974838848,0.219672906915108,137.497967747435
51,3.61988618356412,2.01186906385231,2.84801937939769,0.105461091640428,137.246911529931
52,3.77502387763243,0.715455449828388,2.18738233670541,0.172401983412143,138.108506664838
53,2.59272382087649,0.391589924787693,1.61243170474299,0.225859577254958,139.000372807072
54,2.5051903751681,0.875275639545938,2.47777765725289,0.0329845784953597,138.70453471516
55,2.82343671207768,0.615150843204044,2.12666651363358,0.669708875243247,139.024965115047
56,2.8351937449277,0.644642291853094,3.32670978262533,1.74976945233899,138.518843962829
57,2.63684492182546,0.00506514214809556,3.77725442876836,0.745794025060595,139.346716484862
58,2.44323257623438,0.0315174469255659,3.36659189798749,1.66239953907262,139.421420595497
59,2.38435204962285,0.204873881605351,3.16767164920481,1.8840604385149,138.779000101073
60,2.27133798205958,0.473908664654248,3.22446012296849,3.99575684967515,134.130460804261
61,2.51471186909922,0.330451171871495,7.22226526207694,3.33617735531535,134.199007617754
62,2.69343406690932,0.0180501304592313,6.88597929529535,6.24305173884053,135.842790894167
63,2.88568032000524,0.32174912165003,6.81262079426738,5.12765096826746,135.905792277677
64,2.46623722664801,0.305229195139355,6.01984136556906,4.35740626516373,136.511937358213
65,3.02123987411884,0.185785696431971,4.96915813667297,2.50400394854344,137.607928031302
66,2.20291761406733,0.350830404229108,4.17908515997641,1.32465840889019,137.591360245143
67,1.9849412770824,0.0432437699252924,3.6475804318852,2.86860518894562,137.164166592207
68,3.64332535529045,1.13878909959723,3.78657269437586,3.8697138145715,134.85020675848
69,3.25204266721497,1.69154778914402,5.04118968939795,3.86840001534685,135.047490166259
70,4.30168808608073,1.80988842318122,3.87641276416103,3.75164940392839,133.570403885202
71,4.71600357658144,4.08701380840311,3.23461677218609,3.0124340646905,130.686235792381
72,5.9096502091391,4.42459868274233,6.18171328125812,5.59005614707901,128.432127626524
73,5.9812168104116,4.26438211681836,6.49808806013267,4.60773355068648,128.727060990485
74,6.20775055717858,3.33185408173392,5.83369787810224,4.08418717966125,128.304632861928
75,3.81805169713206,0.242277505785149,4.78107582306173,2.97365162792662,135.408188314428
76,2.03421052095569,0.368866143684827,4.47463344735732,2.13988397055572,136.586327388809
77,3.24540502628049,0.261913292980079,4.38686476947365,2.81603394457331,137.540862160962
78,3.03561678386284,0.146769319522022,3.48878557099866,1.21130378088099,139.122436012053
79,2.8867285111377,0.337623261416345,2.42651223078498,1.30326078184546,138.88978029797
80,2.94447549736311,0.932493701032398,1.96555091572787,1.55919181933479,136.564426047387
81,2.75834746250125,0.567188538832793,3.26271851477563,1.8294820997837,138.545219754109
82,2.58758116547033,0.688048712994275,2.73970506744622,0.513406560510832,139.065321079722
83,3.16326780911963,0.311920514008838,1.62670228969697,0.669123677138376,137.961437822782
84,3.24480303919217,0.379242013107532,1.63649822423375,0.670061415310586,137.803938433804
85,1.97764526371971,0.44933792534187,3.90722469707855,1.6302434651197,136.575712190796
86,1.99019572265074,0.011333625670461,3.83423653221849,2.48993414687426,137.745732506502
87,2.41270067678203,0.15397308541183,4.20352826403599,0.0430037119422781,137.73171114618
88,3.01433302746192,1.05885999383643,3.05499106542377,0.0146016585394726,138.591397542182
89,2.62520863512735,1.00741606491142,2.01765195350552,1.07878443736207,137.061501726507
90,3.62348081950142,1.95573908409723,3.2004582543737,0.930018785440859,136.893590440177
91,3.7869447885064,2.37432273905918,2.23133085739626,0.560786871325738,136.358765739828
92,3.97489182671158,0.506092562177414,2.30711812632334,0.520630975433012,136.998901657974
93,3.0540618123034,0.237861060837521,3.08524165265215,0.431445343903653,139.518743402336
94,2.38449125752535,0.232047832098536,3.73411217811037,1.84739360589266,138.730979887956
95,2.59951830067606,0.273241334690778,3.12903307684549,1.91270197824585,138.836992589139
96,3.05126362397289,0.448989093665148,3.42389165625335,1.25236139545481,138.926020278859
97,2.89955457659413,0.262384605014628,2.05647593365699,0.795763390426593,139.172886991426
98,3.0491661065303,0.247253084284132,3.07456457738573,1.38160019615627,139.101058219985
99,2.67796135901068,0.655333583968518,3.80013831108321,1.56265446457816,138.292674265544
100,2.58249456479545,0.333037744756098,3.35941085889697,0.0832479459915108,139.247528148427
101,2.73307589493908,1.09134721248574,3.06989857281257,0.771220801443097,138.079464147448
102,3.02037185563992,0.450837206277105,4.5901261269781,2.42244191230288,137.807004057562
103,2.57502854995228,0.496312113049955,4.22300335386058,1.72706799172884,138.085140269715
104,2.42709404336752,0.0213099299841085,2.48451876422288,0.305202853856953,140.406699674742
105,2.76434928140554,0.404744032670377,2.71515963209113,0.627226066355231,139.708344588313
106,2.00632072813034,0.609349010119387,2.46058318365942,1.26614721221705,136.3704588428
107,2.48914128443068,0.436240124200838,3.99521478313838,2.49974179110215,138.001721048533
108,3.27628531723773,0.528857361621359,3.70789717874905,2.21667147540315,137.917376045929
109,2.72446241008878,0.11191478877378,3.43906777150132,0.940296260321271,139.601322956384
110,2.41017046410209,0.188967835421552,2.13644172099887,1.43771457668665,138.22771947475
111,2.44481503122167,0.1673502541313,5.22517711895977,4.37085727421925,137.012048503825
112,2.47127064504577,0.136291218277188,4.95870555825522,3.5404931227636,137.717200849102
113,3.87998220891576,2.56997920405078,5.34872009149849,1.58095507352134,132.848918189136
114,3.69990051064068,0.652853364656088,3.1037576754015,1.07366058412397,137.717501816247
115,3.80520410310307,2.57327736711099,3.43642503503907,1.50229294372273,135.377213779747
116,4.87272153216317,1.25992097692883,2.80001402209938,2.55942081135766,131.64818882863
117,3.36853596802966,1.19917796922842,5.39698396253085,5.13204107612681,134.751664625128
118,3.42963835436911,1.56737235051646,4.88916640411387,3.17256457926034,135.769293278137
119,3.28093069360861,0.963247375724443,5.06727742939082,3.51051131744343,136.431361755984
120,3.30429088223545,0.141930116056284,5.91030934255703,2.14004698219029,135.185020709378
121,2.40649196899341,0.250571099759076,2.98287512149244,1.72693070123613,138.793437488676
122,2.54425629489522,0.0810427263450691,3.15963514771786,1.14135719013562,139.762323404622
123,2.52537385091945,0.22446710542106,3.41667179210531,1.29785197322458,139.320745705638
124,2.51700032442598,0.335876060611588,2.75081071683512,0.84246926354198,139.527705070931
125,3.06948521284906,0.466474916991596,3.58153508747365,0.464963794838996,138.739847726674
126,2.36878521756412,0.344214894328909,2.20344760033425,0.889656763782828,138.841695215237
127,2.21057235027819,0.658694516260586,2.17504480945839,1.27881103176081,136.753336626221
128,2.54907695578039,1.43228355423582,3.38592075949777,0.707240720828012,136.236733487475
129,2.20250733686907,1.34506386597593,3.54462632559415,0.750819058202608,134.647897279208
130,4.2629381624154,0.794017636645715,2.81714375166835,2.81735964413425,133.226118170968
131,2.72230964321035,0.568213317792622,2.49013628830864,3.06569733487408,135.05022632923
132,3.10800369339589,1.52630321582211,5.25487520246752,4.21099757201505,135.001842000389
133,3.51270773133252,0.872644677672831,4.40944409108642,3.85990666158763,135.863536103971
134,2.40422046177155,0.136111934934866,4.01538943504505,2.27202083849326,138.644901121117
135,2.41685331199495,0.494958194878926,3.39396552056465,2.03274329549009,138.08139090838
136,3.47021843332601,1.29317650895334,2.46661305583505,0.245167867948406,138.492568279221
137,3.2993491290294,0.549633481809485,2.50831743264164,1.57657238730703,137.881465383961
