"i","lambda.1","mu.1","lambda.2","mu.2","p"
1,4.45375312847727,3.6279815500886,5.07717108218131,1.2253757654595,133.260805585541
2,4.50207421813525,3.6550955408109,4.27927839473814,0.733084581687308,134.464576064533
3,4.28423165924176,0.989882946673752,4.70796713294123,4.01029297960069,134.120094459426
4,4.49862675432344,2.15290590930289,5.60136929057637,3.35458420438537,134.277912568504
5,4.19228195866913,1.63660264621241,6.39511751428279,4.06370118906711,134.153477971717
6,4.1531660323547,2.76993112092772,6.3380658075499,3.52407186122621,133.291867303294
7,2.98204440969026,1.74745721083996,5.02009142986957,0.576797110272953,135.866653301603
8,3.55790277931614,1.07482354372082,3.46635299093282,0.530355323036039,139.60165262045
9,3.26635155672855,1.05149035490857,2.6549117916337,0.409477472155522,140.345583162767
10,2.99135700560124,0.542021138840921,2.13194178802593,0.0571946764890313,141.286083717329
11,2.60454097910769,0.236220783099791,1.57060233835939,0.0619480115768561,140.638189611748
12,1.64156708962096,0.095599676255953,2.02925005684602,0.0911696580927764,138.120191598078
13,3.66443155905284,0.659039703801571,1.67252384170287,0.0286234353556837,139.393926492333
14,3.74701517952903,2.29153692114086,3.92915368550309,0.164113513563583,137.480573887496
15,3.52774439241089,0.264610596348419,3.20437885374975,0.369257750206229,140.063245121708
16,3.1251366645081,0.110256872186173,1.99091273961754,0.151726494368255,141.081689838494
17,2.91627370040297,0.282409834371358,2.52658835632521,1.29914280893326,139.993606355672
18,2.90544456051334,0.908738852785849,4.98930505271888,4.09714228345305,136.567267469629
19,3.43729744696199,0.182352895673371,5.25705337822338,1.93418115436002,137.551503956868
20,1.91705606856802,0.137532011535546,3.38579369795548,0.762940351405397,139.304438734414
21,1.87057665045566,0.379009697042561,3.43741366028065,2.0718229941239,136.781788943516
22,2.11088931407968,0.371603072166536,3.42289712686559,2.3185989519647,137.766464920154
23,3.75721881898671,0.578201481561888,4.03395598841378,1.66190244741329,138.070746081698
24,3.65582186984512,0.124181461836476,4.10418328668634,1.26991143046931,138.295853832828
25,1.73878176283717,0.186746229574252,4.21414747621365,0.57385099870421,137.141580638919
26,3.18900641369186,0.321027844374872,1.93741945008185,0.31809518255728,140.505607006348
27,2.95789227425556,0.130338051586159,4.15703997846964,0.348234024966837,140.218856043547
28,2.44875303111026,0.493538350803955,4.02568522883435,0.750744886794722,139.643855981258
29,2.51632501407993,0.527655074791647,2.75163263003772,1.77575614902069,138.84552483408
30,3.24509547796593,0.719498516654152,3.50976817448437,1.83904258681625,139.13449223131
31,2.90926584848618,1.53676940372954,4.46006464233855,0.201056230913907,137.264082066616
32,4.11275549073411,1.05490677610718,1.43388499958357,0.922088406940495,135.179356538028
33,2.79588577586332,0.271812235682589,4.33083292208538,1.03595012688203,139.918360009284
34,2.89132932334465,0.621117537998602,4.32610658718655,0.60173743225359,139.481334453193
35,2.88668643608194,0.46915569674232,4.36183410065629,1.67381047945816,139.423920058081
36,2.93683903177183,0.251606814546685,2.83682034346987,1.55346283524821,139.910835566336
37,3.64487604225233,0.23925781660248,1.63819932693101,0.769167372885587,137.512036176743
38,1.74692472998254,0.185336636512092,3.84766617119432,0.264402181283329,137.776684617223
39,3.37295850182222,0.787118656454275,1.18428551675678,0.232405044777406,137.571337270732
40,2.94239856036864,1.25152987929097,3.34851502313209,0.208721172325044,139.713056445719
41,3.67312326550921,1.7088942892641,2.74684046904704,0.739471674032031,138.925407830878
42,3.41360705655141,0.741871666013956,5.18382353840104,0.218443948242359,137.089789484852
43,2.97754524179999,1.24637688656007,5.89624533204555,4.71803162327033,135.353335884146
44,3.16596672671367,0.966105105878748,6.10695375648831,4.72092123079541,135.882718325471
45,3.52029510495312,0.629929323736016,6.56323859632078,2.81341781401341,135.55098175016
46,3.5997801912011,1.19853307832426,6.16303562156866,2.53146939545947,135.737313041236
47,2.64896131841036,0.85726047536642,2.96293004426239,2.36457074382323,137.529257576316
48,3.1798025935185,0.127295488497339,5.09044906091524,5.5624566755133,135.013711975453
49,3.54488378949174,0.833951879523269,6.47435290634385,0.63551617343338,133.990604876716
50,2.89060460519248,0.593157353945165,2.21456324042579,0.975131830026931,139.768921427092
51,2.78071608826135,0.592623140895021,2.81693298996093,1.10712619594923,140.161679329531
52,2.64663750798812,0.443140164144155,3.22238571956916,0.501249265792278,140.941324022986
53,3.17761469759366,0.375554444052367,2.35905246614613,0.843732177066606,140.187518164075
54,2.90816879239085,0.361342625333005,5.09505718668469,1.35916548377173,138.644427623459
55,3.16024866460495,0.171788396797295,1.71957019808075,1.87891886410147,136.225559765107
56,2.82390592527317,0.0136578484455944,5.51176342316463,1.99442070151917,138.470156207117
57,1.88102786931243,0.195179742605979,4.75930035857047,1.68782066032784,137.205888655921
58,3.14674019705784,0.33108070070748,3.86744113214243,1.81406389830979,139.510354116353
59,4.00442672052069,1.32966307253452,4.00434479938722,0.964828734006086,137.91373449481
60,2.78732423934218,0.369842705020429,2.60259501575824,0.126851258054956,141.667691548359
61,3.30120067186159,0.559295617492819,2.12808244766298,0.377690983923827,140.398010011398
62,2.78087718518293,0.529962000695445,2.34651002778822,0.0794061795830885,141.43030444353
63,3.70485801166621,1.03154277745495,2.1273797918379,0.0341835848148733,140.014658578966
64,3.80036780942625,1.37320646441039,2.48707538571942,0.166135681605458,139.724436121202
65,3.1322527002409,0.993891545396493,1.96998732671889,0.844896905769611,138.964887103514
66,3.12855803279106,0.424629291434036,4.68171719560799,2.374980193634,138.66832627223
67,2.7377914063215,0.158530389683727,3.40439093149291,2.26888531575477,139.455314205968
68,2.70694555049704,0.5298803545486,3.23365729860063,1.83250886938572,139.422606896118
69,2.90983483369015,0.418319399951696,5.20366383881133,3.63233683716073,137.757396904894
70,2.70250836385935,0.120762791391785,8.09608615935886,8.24658168112553,133.758160408735
71,3.20690378224541,0.0913458076501472,6.37360771672542,5.73587936822081,135.47329210358
72,3.75956641951258,1.44562701381819,5.48756370684064,4.66524834897782,134.964135529435
73,4.15700004053138,1.50610886212166,4.96991559472405,3.36030996421296,135.467626946833
74,3.79060656779287,0.507166630540659,4.54750283450934,4.33446717773717,134.94633526952
75,2.61237923930098,0.707648854111038,5.85892671148425,3.3046580716655,136.83138910146
76,4.41306389651815,0.826316646975761,6.4860839795526,1.57047758931414,132.076202410009
77,2.94699591395745,0.0969176368357591,3.30010724519323,0.151819647855735,141.436583622094
78,2.79853730374881,0.227549266530939,3.90807258487833,1.10697713312885,140.410581789193
79,2.83245654411193,0.786848072318211,2.48407050236413,1.17106343733688,139.462340434655
80,2.5653847411056,1.15509032668128,3.3202890664774,0.341937746263073,139.065065871464
81,4.17426188728775,2.66066164240971,3.0225541614492,0.201228661598619,137.876403141904
82,3.94529832211416,1.0212615810731,2.80353875641698,0.0813797197436662,139.514236242524
83,3.53095695858634,1.16353242429238,1.58427588404275,0.0674043494932964,139.177098425989
84,3.45024213847144,1.26966133611823,2.04359607468231,0.150137862706663,139.931635621715
85,2.57604795192573,0.605688075684359,1.75537883716208,0.00446633594862722,140.477916905895
86,2.93710071308508,0.307161881381201,1.61370834860643,0.0328679523987732,140.693961247489
87,2.30376378818752,0.0141237148634959,1.8474029827978,0.125563136270154,141.215932685083
88,2.51896371729284,0.437119397171308,2.35791224110336,0.252041776376752,141.107196126309
89,3.16099982063579,0.833544053491091,2.29644523296329,1.00551240971347,139.462714722143
90,3.41855014559729,0.150783635875109,3.33018257349547,0.939791112278924,139.842674981207
91,2.33965686048914,0.169536161916533,3.79534087930481,0.328633890940137,140.551538315114
92,1.7751010183379,0.0561933352483278,3.84319182930777,1.35691017650265,138.041201285018
93,1.8851280007132,0.111384174745208,2.77002911835634,0.400564785648341,139.749174376827
94,2.58382379361752,0.290172337105951,2.9318200369526,0.271060019385438,141.489369467881
95,2.47709356916139,0.573726574177785,2.66266331386412,1.08825627236729,139.70253502716
96,2.33295734676245,0.76217865010244,3.10968427418544,0.647890188408577,139.373128246373
97,3.12598651209282,0.222803418146187,3.73594772531902,2.46543849200279,138.884498001761
98,3.14047393961209,0.281715222048603,3.99003071222538,0.249956219008218,140.128467660666
