"i","lambda.1","mu.1","lambda.2","mu.2","p"
1,2.89725656735687,0.286180299204977,5.90142273358846,1.32263322711132,152.503836110355
2,3.8211788159924,1.09283007160571,5.61608680287878,0.279494675047657,152.795923380187
3,3.89957886124285,1.28516078717059,5.70254260109858,0.31841388224121,152.523427827283
4,3.97805662584056,0.566014163459292,2.93262791355921,0.256867950489761,153.978461244705
5,3.80464129765416,1.31872214559116,2.55498095348429,0.839359248048774,152.206513431675
6,4.14241156261592,0.525607875276482,6.04558641972703,0.215020777082822,152.299429085151
7,3.10496353323607,0.508716353650998,5.5799932944703,0.60943941664813,152.946504485234
8,2.7924176606524,0.514391334579371,3.19416727844166,3.15145305919456,149.267429182632
9,4.7091313473528,2.63277035202547,7.17435832728417,2.75119907977679,149.582031263898
10,4.50574369966888,2.78998317612766,6.46373095971047,1.08549762220659,150.07036664324
11,5.54087399789996,1.41460298677774,3.82563077779585,0.8615366774716,150.813115812057
12,4.65203419906243,1.44645655469762,3.61871945928925,0.363248008505861,153.193861121649
13,4.25705060026064,2.31943293835559,5.40889297668341,1.22648511545293,151.57334081
14,4.99058947348006,2.74499287968431,1.66958441003565,1.131395615942,147.559437694342
15,3.13526671805443,1.44783294651264,6.91169161212893,1.03415593049367,149.697189989026
16,2.93664025690314,0.0987576249747352,4.05495053030771,2.24264672442515,152.688247174007
17,2.88413337764061,0.0689009690129684,5.61859649114186,2.56143919737439,152.527119198612
18,3.64856461589147,0.97676160460278,6.28942186741262,0.358694066197328,152.030732758835
19,4.06559426798785,0.615728355680155,3.03313278569664,0.500998448128661,153.664986728937
20,4.18645584129215,1.47267257085303,5.6830992384054,4.69544975809059,150.012763558516
21,3.85277431641498,2.18445331762101,6.97932442094301,3.80979706799342,149.48638437841
22,5.27561487557565,1.12626230543116,6.08934460649949,4.53154790424785,148.440927194483
23,5.76777152461844,3.6387643704328,8.26569883848467,1.47110084158802,146.635323390278
24,4.87696170218825,2.94288556525579,6.12788316682888,0.155614970138736,150.316211263906
25,5.77837999854448,1.48703840763124,6.34841379049564,0.575381569871167,148.529019143795
26,2.83808897569256,0.4745305750457,5.75061844467081,0.579220480235039,152.264187921638
27,4.32303800459905,0.232107503752078,5.26391451591975,0.118951904534091,152.833082677652
28,4.44666342351818,2.68234874656014,3.34853731381749,0.270923963859051,152.335050980978
29,4.96914763967053,1.2805882959366,5.67749538506228,0.972961084241199,151.31489240172
30,4.70059757636351,1.49519004442494,3.86085061576154,0.116710216469535,153.299655779986
31,3.41439098606776,0.915468011518681,3.92979006729765,0.216583764485168,154.019893648611
32,3.33429381894821,0.593023841535545,3.89203722263707,0.226687490801952,154.353857231453
33,3.6191401069323,0.491612406577167,1.85739448956855,0.015826397763888,152.64814260626
34,3.72824880816773,0.0765501800198408,5.31567890600296,0.0761863829616092,153.749576627572
35,2.80760698659443,0.52986705098023,4.19044230016121,0.169443733756743,153.43228676537
36,3.92359462787066,0.722039725551874,5.22979937020292,1.12923615605511,153.205358515873
37,3.70291767994506,0.736807324055602,7.21836762617349,1.47442592930761,151.244884391892
38,3.32564777026923,0.123591083133798,3.51801516675518,0.0315488130411822,154.992844920168
39,3.62268268062061,0.580873669076715,3.30630442721641,0.124087909973012,154.530861399785
40,2.92365331033252,0.174867492703826,3.78827177433986,0.439899258050339,154.223962521041
41,3.84956599934767,0.704048583257535,4.4949704332231,0.149616573786589,154.120057924918
42,4.57125150994741,1.74309921886805,4.59249611814403,0.192862649897118,153.001624350431
43,3.67449741258407,1.44581098977547,2.74334586972378,0.457830317875287,152.788883291985
44,3.03090977271362,2.05730644902186,3.4260662579609,0.125843104758392,150.580094120466
45,5.96670933264603,2.35194644507933,4.07359467286265,1.02727586889343,150.255890772459
46,5.07765373192714,3.73557256885418,4.70415812319516,2.12074781973065,149.741732610075
47,5.06178434858119,4.53469392681788,5.12762745275227,2.16322412732298,148.129552723614
48,6.6505661762887,4.26788027312166,4.28771804026125,0.0255566213477734,149.96592590731
49,6.40900339752405,4.87139074088659,2.88766711122083,2.01663875644863,147.039847991171
50,5.51354078952507,3.30650184941808,7.17148333861154,4.72548135766813,148.070848686308
51,5.60495683881881,2.35583688587289,6.93860837760759,3.97506703228225,148.56854556351
52,4.55464774864498,2.29158491717071,5.72523295545242,1.22213497043449,151.436058799457
53,4.3403700765493,0.341669848222544,7.42967094980771,0.550857507486374,149.970322179401
54,4.03896964832938,0.697282113218338,3.65416215012745,0.763573805379072,153.735101297542
55,2.90698700392046,1.32371949156927,5.89727084324214,0.843938025278847,150.435240810032
56,2.84605243220077,1.88364242843448,7.20906550094848,1.79438607878169,147.11912831324
57,3.8392219242925,1.24769912283392,6.29651971509184,1.28312829966009,151.873281134677
58,3.93660615552133,0.675400440713319,4.93245337595633,2.1974849826825,152.730966750016
59,3.64310654371268,2.19149690918218,4.32676343024772,2.30197114525979,150.416354009811
60,5.59842427298094,3.30804657664805,5.6661271014375,1.47109303384948,150.103152623663
61,3.93154064684787,3.12826112941927,3.77537814949061,0.239142176706652,150.667711166126
62,7.52763082467751,2.89340308054657,3.46276956317343,0.43291141069938,146.249729396193
63,3.55615246110905,2.85450758151821,2.53204576907015,0.40727355922732,149.238979955562
64,4.76792782456386,0.992290910284198,2.191018214794,0.672705707674828,150.907707740407
65,4.68479457726887,0.976754428319493,3.94536272057634,0.457667808214673,153.022787646504
66,4.35689499967168,1.81718538744809,3.62244654382565,0.169130127195852,153.435491772627
67,4.11982536220684,0.862390524633536,2.50875566832593,0.583147244831207,152.760043284537
68,4.38644284279728,0.0610316549195668,4.13497767066146,0.761717480409247,153.031283460196
