"i","lambda.1","mu.1","lambda.2","mu.2","p"
1,7.14039171476363,8.19968566187195,8.52371999549127,9.48471386070893,145.391873305559
2,9.48667346790104,7.18452940440952,10.6687751025528,4.77112151525523,147.997707551857
3,8.51220183499206,5.14225454707019,3.78379937439537,5.08547025774642,148.071791978984
4,7.1231341007872,4.35871617052003,10.4171923697721,5.89283321150878,151.360837963234
5,5.48840669147488,2.46790165657336,9.32343314789663,2.99298064069804,153.542700913086
6,4.59620484056206,1.04817598613097,7.55222987191865,3.02560282757424,156.1441017584
7,5.4231660014461,1.43970787545496,5.07015259706651,1.90296313991575,156.737349570495
8,3.50500436993987,0.450796231486651,3.469693116786,1.26364319889815,157.967227773544
9,3.65586445366712,1.12300327184691,3.17101367806425,0.74966985244924,157.887341790327
10,4.19303002259474,1.72954577595124,4.40886722303044,0.820000313890783,158.329914054853
11,5.07116095722172,1.81857499702673,3.77266317133763,0.292132292808692,158.451771136272
12,5.02585043060243,1.16890272783343,4.35364934635103,0.779782425209823,157.990817060181
13,3.64918223308776,0.375669537156045,3.91932625619655,0.863877365504268,158.729448183875
14,3.05852097748351,0.395893412356495,5.12097514382889,1.49511014662191,157.423612458416
15,3.44980275373022,0.444870142188335,3.1869454277764,0.177040421676112,158.765580017865
16,4.25375232758756,1.10122471077041,4.43164984558682,0.0258525089953757,159.02478811176
17,4.11765888063418,1.62777095517898,3.95761188667606,0.948253465635116,158.23766099219
18,4.34051280281555,0.57475227613776,3.64636240815203,1.27236648462872,158.051563279097
19,3.90005130514619,1.74631198264021,2.84478351686141,1.53719717787657,156.146156079825
20,4.5839293932423,0.401888894726424,5.72588229595136,1.13931298407825,157.51792710385
21,3.24350512884116,1.47932002851253,4.62390572219783,2.34395671540127,155.803102490467
22,4.66675094887251,3.19109749574688,5.68007485377273,1.66812427852193,156.451407085447
23,6.17057706266113,2.66773623469406,4.10460003117609,0.189383816210115,157.234119696524
24,4.88555101303714,2.62922615923823,1.94705295306034,0.2574041657286,155.912341560759
