"i","lambda.1","mu.1","lambda.2","mu.2","p"
1,6.16365296875713,3.25990409260802,2.55057708042901,0.141201900182289,142.321068762848
2,3.3575084087482,1.91930111144735,4.63053415507606,1.65409529292485,145.354711630876
3,3.39820883175972,1.2744246483139,3.98733867932539,0.779275481516887,147.12354977208
4,3.64311866702958,1.15431744915182,3.29428826166574,0.599615557955103,147.219628942129
5,3.09443488538955,1.26059094231492,3.51763179363621,0.891049865169013,146.743644243559
6,3.74857090793506,0.80475723998355,4.55595272499267,1.41816409379382,146.554619980116
7,3.47477020605992,1.43368996212364,4.08886801400485,1.87388851136684,146.077138750661
8,3.89987521537081,2.24767275947097,3.03479438413551,0.751109682003717,145.800226845373
9,4.30189385419615,1.10782905218624,2.88609667509647,0.589180172740715,145.765775616192
10,3.30902863946426,0.712384087563037,4.29995781345072,0.05817395836716,147.849642981774
11,2.26401883042669,0.135359406904391,3.61081386859023,0.260086136331841,147.464455528939
12,2.46375519326244,0.148823956713953,4.33043289034748,0.0317512868721596,147.829025650088
13,4.62491542838956,1.9593227672096,4.66708019225471,0.0311354708924785,145.53638555334
14,4.53984974428296,2.54925894208569,4.41142516486931,0.338567672564833,145.662090516463
15,3.8535928882067,1.93273512484268,2.19240922093625,0.458666922940407,145.342964236907
16,3.76647840349122,2.2529748635832,3.85394132205683,0.395297079093708,146.251739328602
17,3.91230399380583,2.62303856964751,4.08994106784242,1.9234767615542,144.526660168089
18,4.46311304719966,1.77903181392982,6.07963699811433,0.713039251387307,144.20021012428
19,4.12567248881614,1.84345141763149,5.03627220403316,0.408118020554695,145.906515787887
20,3.81691184842213,1.87445027093763,3.70634984404129,1.070341054719,146.273034300744
21,4.56160853864795,2.2013751630725,4.61694239559543,1.1796633491081,145.29146045147
22,4.27168150919564,2.80245406780494,4.36022914867461,2.39984718609703,144.110233634116
23,5.01094027723397,1.77277257310563,4.52772034253849,0.669480281662341,144.314135551327
24,5.13691102987873,2.20689072275502,5.20654819979498,1.49607269679675,143.584421445837
25,3.29325729572427,0.653310681079208,4.08668562050949,1.38271244843109,147.199654710038
26,3.02465071311875,1.34604491317515,3.49304547892735,2.46375084047494,144.578750892239
27,4.5675902803376,1.98211219172738,3.94669347288221,2.2523750196871,144.372369603283
28,3.95198575236173,1.6101437717333,4.10249776277447,0.747795960578087,146.661928060054
29,3.99399151827274,1.64542763391428,4.20163754391126,0.669317630751065,146.620620757451
30,3.75149248686414,1.9607178580762,3.54289326289057,0.817480947863475,146.344295463581
31,3.57382924754423,2.14214598007658,3.27336862209023,0.294788007292052,146.296276167269
32,4.39517724910513,1.14352585951187,4.71691187511403,1.45885781395574,145.13238748441
33,2.66240002754616,0.86090244854058,1.83824157121015,0.316671385893862,144.915857349567
34,3.98898438155957,0.0788052354069924,6.06287377998977,4.81270978953972,142.780929829006
35,2.38233767650728,0.181197808931338,9.23424268368433,4.76151016707158,142.575487262196
36,3.67835052279866,1.05240179423632,7.20463604200219,4.05782966037589,144.208799695153
37,4.44728101547046,1.3912669996919,4.40182833955564,2.07538656524017,144.772959695565
38,4.58358872886127,1.14009809904061,4.89391981185605,2.97626428987467,143.452425551767
39,4.49878336121326,3.4336942172224,7.15634197140089,3.8318248855884,141.644369230881
40,4.01933049119378,0.136759110258457,6.77694998647758,3.2121692860682,143.433603264987
41,3.17455668742278,0.830554886167103,7.40254838131068,0.156016828219259,143.48102808248
42,3.58862470850056,0.313896043422736,7.7022702111999,6.45373148903242,142.954860089911
43,3.71368549312936,0.325969903549078,7.68038875921399,1.9268440843622,143.40106617417
44,3.87514726545312,0.224116474305663,5.20529578714774,3.52545309025284,144.31768956165
45,2.4605694901562,0.0866775210716982,4.53747206076133,2.37513975918074,146.456623005658
46,3.07485523468233,0.145396559557699,6.5436368535136,1.0002710256292,145.758132668581
47,3.52679365476085,0.483529240019005,2.24751303124053,0.764598720857496,145.949955199455
48,3.77104416828825,1.42291508418853,6.66233069173314,1.46701291804753,144.592166320429
49,3.24780047904888,1.44133386121962,6.34995540790979,2.28859631195731,144.821406050312
50,3.27208310024654,1.1610069015074,3.53321040960755,0.116284393511699,147.723280581891
51,4.03395224984655,2.26448254678959,3.83690161230097,0.0919536039131182,146.548371153675
52,4.17200187379509,3.20446518668753,2.23712702987709,0.468685691611256,143.58450863285
53,4.28053822015959,1.84066002607747,5.51792834611538,1.94584608241007,144.960934188013
54,5.74986643966495,2.43951980829472,2.85781911614417,0.472295826335481,142.654282008305
55,5.33457159769739,3.82761094646434,3.79042738787176,0.559402385633717,144.201418511972
56,6.0056679931802,3.07689201871166,3.25812538899708,0.268981705233335,143.016324967864
57,5.91728080091285,4.52214373990681,3.22245272662196,0.789982604468884,142.839340992804
58,6.04081969692381,4.76061751584232,4.02186186946846,0.282210668418227,143.01007644106
59,5.74058217893896,3.81074382658815,4.602597873641,0.512570427504676,143.450109411857
60,4.45242752253921,1.94754095743344,4.72464294737705,2.17144116471348,144.848816699617
61,3.08702311879495,0.893480925295757,4.46620653613294,1.04122374209764,147.12697754127
62,3.35359881954373,1.05659614361221,3.95281380747784,0.500307058377378,147.531124867816
63,3.34991378763721,1.41924692238854,2.58984151209282,0.289546224569523,146.746471834008
64,3.93336882455798,1.76032278111025,3.35790014531319,0.307141269265145,146.940767748451
65,3.67002354091489,0.559481481025842,4.65652860331666,5.13442125709786,142.609169752402
66,2.68442676217976,0.466823655760836,5.3402082749658,0.639347104817748,146.718371004146
67,4.20124379984949,1.69414452803302,3.45555712063749,1.68695727303687,145.3087299804
68,3.83864043614702,0.1744274321797,4.68268604636143,0.381646931541197,146.376135847375
69,2.24635233367512,0.125643290360587,5.66303633295961,1.24412529002054,145.817257092618
70,3.15358093405656,0.754524558418094,3.72189547164295,0.697968323767665,147.678991790993
71,3.55046202664458,0.475605089046262,4.89914537125415,0.953556581679474,146.903714874102
72,3.26909976796693,0.198738797864611,3.26687553108143,2.41193266477649,145.569620097184
73,3.13745858786639,0.738288244021712,5.81280619644653,2.28452162956402,146.075968454545
74,4.1050920017437,1.76106807681703,6.19079831889953,1.89901344925773,144.673634505321
75,3.75802301083435,1.22195745896148,4.15091860681526,1.3350288620149,146.606249762128
76,4.03576703316613,1.91076795588121,6.45670696114882,2.76837004045153,144.29027085433
77,3.25196502442751,2.0070433654545,5.53092441763241,3.26661719186625,143.713243969896
78,3.76336056646223,2.28364180037374,3.9993367132103,0.00982767665453635,146.357387813806
79,4.37376367555241,2.54975984310259,3.71095912656998,0.0619856253437633,146.237567323275
80,3.88890799931911,2.92712393680658,4.87062015329164,0.61353986128837,144.416171216656
81,4.98081398974679,2.76331105581457,1.93846777844785,0.840687937291209,142.494671599263
82,2.82332225754539,0.692950184227282,4.68898064856428,1.05542800699522,147.001818529915
83,2.63390516428892,0.969827054569727,3.46658568189895,0.328441862525933,146.768545924489
84,3.02868237132421,0.156467149371047,4.40840652333552,0.888413125887113,147.855086165857
85,3.15783557045944,0.110800949521845,3.81790839367028,0.830089616666611,147.926574117381
86,2.14837718038352,0.358156010887715,2.21832965883782,0.0343883102806454,145.621276899091
87,3.45071423032173,1.13397443885636,3.68909669435757,0.0273580683405867,147.817900217923
88,3.48725798825735,1.17779723965087,3.99834775066063,0.778204103417569,147.220065049163
89,2.97011209865961,0.901106226997246,3.64988866288197,0.941569184159236,147.1472297815
90,3.66178427831819,1.57737936520234,4.82465750618908,2.07350022796829,145.817401079221
91,3.76161187079183,1.16826462920037,4.3163630855082,0.923413917291242,146.865977216287
92,3.23099387651913,1.03644194418942,3.94062501869082,0.62321138728975,147.446042403694
93,3.39869479996216,0.773533548123195,3.50649304512511,0.562556965088775,147.69055947379
